Image;Valence
stimuli/neg_1.jpg;negative
stimuli/neg_10.jpg;negative
stimuli/neg_11.jpg;negative
stimuli/neg_12.jpg;negative
stimuli/neg_13.jpg;negative
stimuli/neg_14.jpg;negative
stimuli/neg_15.jpg;negative
stimuli/neg_16.jpg;negative
stimuli/neg_17.jpg;negative
stimuli/neg_18.jpg;negative
stimuli/neg_19.jpg;negative
stimuli/neg_2.jpg;negative
stimuli/neg_20.jpg;negative
stimuli/neg_21.jpg;negative
stimuli/neg_22.jpg;negative
stimuli/neg_23.jpg;negative
stimuli/neg_24.jpg;negative
stimuli/neg_25.jpg;negative
stimuli/neg_26.jpg;negative
stimuli/neg_27.jpg;negative
stimuli/neg_28.jpg;negative
stimuli/neg_29.jpg;negative
stimuli/neg_3.jpg;negative
stimuli/neg_30.jpg;negative
stimuli/neg_31.jpg;negative
stimuli/neg_32.jpg;negative
stimuli/neg_33.jpg;negative
stimuli/neg_34.jpg;negative
stimuli/neg_35.jpg;negative
stimuli/neg_36.jpg;negative
stimuli/neg_37.jpg;negative
stimuli/neg_38.jpg;negative
stimuli/neg_39.jpg;negative
stimuli/neg_4.jpg;negative
stimuli/neg_40.jpg;negative
stimuli/neg_5.jpg;negative
stimuli/neg_6.jpg;negative
stimuli/neg_7.jpg;negative
stimuli/neg_8.jpg;negative
stimuli/neg_9.jpg;negative
stimuli/neu_1.jpg;neutral
stimuli/neu_10.jpg;neutral
stimuli/neu_11.jpg;neutral
stimuli/neu_12.jpg;neutral
stimuli/neu_13.jpg;neutral
stimuli/neu_14.jpg;neutral
stimuli/neu_15.jpg;neutral
stimuli/neu_16.jpg;neutral
stimuli/neu_17.jpg;neutral
stimuli/neu_18.jpg;neutral
stimuli/neu_19.jpg;neutral
stimuli/neu_2.jpg;neutral
stimuli/neu_20.jpg;neutral
stimuli/neu_21.jpg;neutral
stimuli/neu_22.jpg;neutral
stimuli/neu_23.jpg;neutral
stimuli/neu_24.jpg;neutral
stimuli/neu_25.jpg;neutral
stimuli/neu_26.jpg;neutral
stimuli/neu_27.jpg;neutral
stimuli/neu_28.jpg;neutral
stimuli/neu_29.jpg;neutral
stimuli/neu_3.jpg;neutral
stimuli/neu_4.jpg;neutral
stimuli/neu_5.jpg;neutral
stimuli/neu_6.jpg;neutral
stimuli/neu_7.jpg;neutral
stimuli/neu_8.jpg;neutral
stimuli/neu_9.jpg;neutral
stimuli/pos_1.jpg;positive
stimuli/pos_10.jpg;positive
stimuli/pos_11.jpg;positive
stimuli/pos_12.jpg;positive
stimuli/pos_13.jpg;positive
stimuli/pos_14.jpg;positive
stimuli/pos_15.jpg;positive
stimuli/pos_16.jpg;positive
stimuli/pos_17.jpg;positive
stimuli/pos_18.jpg;positive
stimuli/pos_19.jpg;positive
stimuli/pos_2.jpg;positive
stimuli/pos_20.jpg;positive
stimuli/pos_21.jpg;positive
stimuli/pos_22.jpg;positive
stimuli/pos_23.jpg;positive
stimuli/pos_24.jpg;positive
stimuli/pos_25.jpg;positive
stimuli/pos_26.jpg;positive
stimuli/pos_27.jpg;positive
stimuli/pos_28.jpg;positive
stimuli/pos_29.jpg;positive
stimuli/pos_3.jpg;positive
stimuli/pos_30.jpg;positive
stimuli/pos_31.jpg;positive
stimuli/pos_32.jpg;positive
stimuli/pos_33.jpg;positive
stimuli/pos_34.jpg;positive
stimuli/pos_35.jpg;positive
stimuli/pos_36.jpg;positive
stimuli/pos_4.jpg;positive
stimuli/pos_5.jpg;positive
stimuli/pos_6.jpg;positive
stimuli/pos_7.jpg;positive
stimuli/pos_8.jpg;positive
stimuli/pos_9.jpg;positive